PRCDDA,Province,Dissemination area (DA) Population,Residential instability Quintiles,Residential instability Scores,Economic dependency Quintiles,Economic dependency Scores,Ethno-cultural composition Quintiles,Ethno-cultural composition Scores,Situational vulnerability Quintiles,Situational vulnerability Scores
24570019,Quebec,367,3,-0.219,3,0.016,1,-0.869,3,-0.192
24570020,Quebec,378,3,-0.428,2,-0.387,1,-0.837,1,-0.803
24570021,Quebec,374,3,-0.219,4,0.602,1,-0.856,3,-0.177
24570022,Quebec,524,3,-0.100,3,-0.113,2,-0.610,2,-0.558
24570023,Quebec,466,1,-0.841,4,0.386,1,-0.780,2,-0.597
24570024,Quebec,403,5,2.266,5,0.792,1,-0.875,4,0.159
24570025,Quebec,403,4,0.116,5,1.574,2,-0.724,3,-0.214
24570026,Quebec,362,5,1.051,2,-0.628,1,-0.831,3,-0.236
24570027,Quebec,354,5,0.956,2,-0.511,1,-0.867,3,-0.069
24570028,Quebec,464,5,1.369,2,-0.398,3,-0.486,4,0.038
24570036,Quebec,1119,2,-0.781,3,-0.155,3,-0.547,2,-0.608
24570037,Quebec,452,5,2.465,5,2.733,1,-0.881,2,-0.383
24570038,Quebec,456,2,-0.736,5,1.062,1,-0.808,2,-0.406
24570039,Quebec,412,1,-1.151,4,0.526,3,-0.516,1,-0.782
24570040,Quebec,627,1,-1.276,2,-0.561,2,-0.720,1,-0.991
24570041,Quebec,390,5,0.907,5,0.887,1,-0.924,1,-0.629
24570042,Quebec,434,3,-0.300,3,-0.305,1,-0.837,1,-0.878
24570043,Quebec,848,4,0.049,2,-0.504,2,-0.704,1,-0.750
24570044,Quebec,462,2,-0.574,3,-0.078,2,-0.636,4,0.051
24570045,Quebec,347,2,-0.741,2,-0.597,1,-0.733,3,-0.109
24570046,Quebec,649,3,-0.457,3,-0.321,2,-0.716,1,-0.649
24570047,Quebec,429,3,-0.389,5,1.596,3,-0.488,2,-0.415
24570048,Quebec,583,3,-0.403,4,0.308,1,-0.793,1,-0.698
24570049,Quebec,640,1,-1.111,1,-1.347,2,-0.702,2,-0.374
24570050,Quebec,993,2,-0.742,1,-0.914,1,-0.748,1,-0.702
24570051,Quebec,454,1,-1.072,1,-0.932,1,-0.829,1,-0.720
24570052,Quebec,890,3,-0.191,3,-0.318,2,-0.703,3,-0.317
24570053,Quebec,426,1,-1.068,1,-0.820,2,-0.609,1,-0.653
24570054,Quebec,718,1,-1.067,1,-1.222,1,-0.771,2,-0.367
24570055,Quebec,465,2,-0.555,2,-0.438,1,-0.803,3,-0.115
24570056,Quebec,515,3,-0.460,1,-1.019,1,-0.859,2,-0.551
24570057,Quebec,578,5,1.160,5,0.797,3,-0.516,3,-0.193
24570058,Quebec,558,4,0.480,5,0.784,1,-0.819,4,0.028
24570059,Quebec,587,4,0.327,5,2.123,1,-0.764,1,-1.092
24570060,Quebec,495,1,-1.021,5,0.710,1,-0.851,2,-0.600
24570061,Quebec,438,2,-0.531,2,-0.477,2,-0.702,4,-0.032
24570062,Quebec,490,3,-0.231,3,0.050,2,-0.568,4,-0.018
24570063,Quebec,396,5,1.468,3,-0.098,1,-0.744,3,-0.325
24570064,Quebec,464,1,-0.885,4,0.446,1,-0.744,2,-0.565
24570065,Quebec,441,1,-1.224,5,0.999,2,-0.694,1,-0.662
24570066,Quebec,437,1,-0.965,1,-0.819,1,-0.828,3,-0.207
24570068,Quebec,621,3,-0.286,2,-0.356,2,-0.688,4,0.027
24570069,Quebec,562,3,-0.481,4,0.170,1,-0.752,4,-0.017
24570070,Quebec,693,5,1.188,3,0.069,2,-0.676,3,-0.154
24570071,Quebec,453,5,1.341,2,-0.515,2,-0.680,4,-0.034
24570072,Quebec,432,3,-0.280,3,0.077,1,-0.771,3,-0.212
24570073,Quebec,480,3,-0.505,5,0.731,1,-0.813,3,-0.155
24570074,Quebec,1030,3,-0.245,1,-0.841,2,-0.578,1,-0.697
24570075,Quebec,419,5,1.072,5,0.951,1,-0.788,3,-0.215
24570076,Quebec,666,1,-1.192,1,-1.151,2,-0.701,1,-0.737
24570077,Quebec,510,2,-0.583,5,0.900,2,-0.549,2,-0.342
24570078,Quebec,677,1,-1.222,1,-1.108,2,-0.660,1,-0.901
24570079,Quebec,511,1,-0.841,3,-0.032,2,-0.636,3,-0.202
24570080,Quebec,410,2,-0.820,1,-0.982,1,-0.770,1,-0.724
24570081,Quebec,517,1,-1.024,1,-1.252,2,-0.693,1,-0.665
24570082,Quebec,341,1,-1.385,1,-1.505,1,-0.728,1,-0.862
24570083,Quebec,878,2,-0.807,1,-1.197,1,-0.741,2,-0.335
24570084,Quebec,1169,1,-1.153,1,-0.954,1,-0.730,1,-0.637
24570088,Quebec,668,3,-0.361,2,-0.583,2,-0.605,3,-0.301
24570089,Quebec,647,2,-0.678,1,-1.331,1,-0.752,2,-0.476
24570136,Quebec,778,1,-0.875,2,-0.499,2,-0.677,3,-0.314
24570138,Quebec,1285,4,0.652,2,-0.591,3,-0.538,1,-0.718
24570139,Quebec,508,3,-0.396,5,0.886,1,-0.815,1,-0.654
24570140,Quebec,383,5,0.893,4,0.515,1,-0.786,4,-0.026
24570141,Quebec,765,4,0.162,1,-0.882,2,-0.647,1,-0.750
24570142,Quebec,612,3,-0.344,3,0.063,1,-0.788,2,-0.476
24570143,Quebec,379,1,-0.908,4,0.266,2,-0.574,1,-0.741
24570144,Quebec,538,4,0.485,2,-0.783,2,-0.659,3,-0.272
24570145,Quebec,483,3,-0.427,1,-1.561,1,-0.735,1,-0.919
24570146,Quebec,364,1,-0.898,1,-1.224,1,-0.786,2,-0.357
24570147,Quebec,506,3,-0.274,2,-0.492,2,-0.684,1,-0.666
24570148,Quebec,489,2,-0.729,2,-0.402,3,-0.446,2,-0.456
24570149,Quebec,648,3,-0.417,3,-0.258,1,-0.815,1,-0.805
24570150,Quebec,473,2,-0.634,1,-0.862,2,-0.719,1,-0.748
24570151,Quebec,798,2,-0.555,1,-1.084,2,-0.669,1,-0.851
24570152,Quebec,4993,3,-0.450,1,-1.374,2,-0.581,1,-1.101
24570153,Quebec,3512,2,-0.715,1,-1.580,3,-0.518,1,-1.047
24570154,Quebec,354,2,-0.765,1,-1.037,2,-0.700,1,-0.641
24570155,Quebec,318,1,-0.847,1,-0.819,2,-0.610,1,-0.668
24570156,Quebec,508,2,-0.807,2,-0.757,2,-0.695,3,-0.132
24570157,Quebec,255,1,-0.829,3,-0.232,2,-0.721,2,-0.462
24570158,Quebec,864,2,-0.785,1,-0.912,2,-0.639,2,-0.476
24570159,Quebec,397,1,-0.858,1,-1.189,2,-0.689,4,-0.037
24570161,Quebec,513,5,1.044,3,-0.181,2,-0.720,4,0.123
24570163,Quebec,540,5,1.071,4,0.368,2,-0.556,3,-0.148
24570164,Quebec,455,4,0.521,2,-0.542,1,-0.798,4,0.277
24570167,Quebec,286,2,-0.598,1,-1.074,1,-0.767,1,-0.719
24570168,Quebec,426,5,1.671,5,1.744,1,-0.811,4,0.037
24570169,Quebec,577,4,0.367,4,0.171,2,-0.647,2,-0.514
24570170,Quebec,615,5,1.118,5,1.234,2,-0.718,5,0.510
24570171,Quebec,470,4,0.563,4,0.199,1,-0.909,4,0.051
24570174,Quebec,518,1,-1.004,4,0.372,1,-0.763,1,-0.757
24570175,Quebec,833,2,-0.652,2,-0.608,2,-0.640,2,-0.349
24570176,Quebec,1875,1,-0.982,1,-1.216,2,-0.566,1,-0.853
24570177,Quebec,585,2,-0.786,2,-0.439,2,-0.577,3,-0.066
24570178,Quebec,2100,3,-0.174,1,-1.395,2,-0.556,1,-0.679
24570179,Quebec,773,1,-0.888,1,-1.054,1,-0.799,2,-0.512
24570180,Quebec,623,1,-0.983,3,-0.288,2,-0.699,1,-0.639
24570181,Quebec,775,2,-0.723,2,-0.330,1,-0.858,1,-0.658
24570182,Quebec,438,2,-0.712,2,-0.344,1,-0.755,2,-0.402
24570184,Quebec,1266,4,0.221,2,-0.381,2,-0.702,1,-0.743
24570185,Quebec,577,5,1.996,3,-0.240,2,-0.582,3,-0.061
24570186,Quebec,413,1,-1.504,1,-0.812,1,-0.820,1,-0.808
24570187,Quebec,689,2,-0.776,1,-0.847,1,-0.842,2,-0.570
24570188,Quebec,464,1,-1.134,2,-0.409,1,-0.774,1,-0.714
24570189,Quebec,365,1,-0.894,4,0.591,2,-0.719,2,-0.510
24570190,Quebec,499,1,-1.188,4,0.143,1,-0.761,2,-0.383
24570191,Quebec,563,1,-1.418,2,-0.654,1,-0.817,2,-0.500
24570192,Quebec,690,1,-1.144,3,-0.131,2,-0.650,2,-0.557
24570194,Quebec,435,2,-0.642,3,0.031,2,-0.608,3,-0.161
24570196,Quebec,403,1,-1.117,4,0.123,2,-0.587,2,-0.502
24570197,Quebec,500,1,-1.115,3,-0.108,3,-0.536,2,-0.398
24570198,Quebec,426,1,-0.921,3,-0.316,2,-0.586,1,-0.707
24570200,Quebec,413,1,-1.133,5,0.712,1,-0.730,1,-0.659
24570201,Quebec,721,1,-1.043,4,0.223,2,-0.624,1,-0.733
24570208,Quebec,705,1,-1.043,2,-0.729,1,-0.819,2,-0.610
24570209,Quebec,877,1,-1.093,2,-0.462,2,-0.588,2,-0.534
24570210,Quebec,1997,3,-0.244,1,-1.264,2,-0.552,1,-0.650
24570211,Quebec,1035,5,1.856,3,-0.216,3,-0.414,4,-0.012
24570213,Quebec,512,1,-1.062,2,-0.509,1,-0.790,2,-0.491
24570214,Quebec,1407,1,-0.984,2,-0.640,2,-0.688,2,-0.536
24570215,Quebec,765,3,-0.244,3,0.076,1,-0.782,4,0.050
24570216,Quebec,479,3,-0.155,3,0.090,1,-0.777,4,0.045
24570217,Quebec,544,3,-0.072,4,0.623,2,-0.705,3,-0.207
24570218,Quebec,554,1,-0.864,3,0.059,1,-0.915,3,-0.227
24570219,Quebec,685,3,-0.456,3,-0.280,1,-0.779,2,-0.386
24570220,Quebec,418,2,-0.746,3,-0.147,1,-0.733,4,0.121
24570221,Quebec,545,3,-0.428,3,-0.038,1,-0.777,4,0.201
24570222,Quebec,736,2,-0.688,4,0.232,1,-0.823,3,-0.183
24570223,Quebec,567,1,-0.874,3,-0.004,3,-0.429,3,-0.144
24570224,Quebec,1044,2,-0.718,1,-0.861,1,-0.820,2,-0.342
24570225,Quebec,561,3,-0.333,4,0.485,1,-0.853,3,-0.317
24570226,Quebec,539,1,-0.962,4,0.366,1,-0.842,2,-0.364
24570227,Quebec,975,2,-0.704,1,-0.826,2,-0.691,1,-0.961
24570228,Quebec,772,2,-0.606,3,-0.176,1,-0.740,1,-0.642
24570229,Quebec,4364,4,0.096,2,-0.601,1,-0.736,1,-0.941
24570230,Quebec,603,3,-0.351,2,-0.712,2,-0.724,2,-0.501
24570231,Quebec,446,5,0.961,3,0.046,3,-0.409,2,-0.402
24570232,Quebec,403,4,0.234,5,0.876,1,-0.749,1,-0.629
24570233,Quebec,505,5,1.871,5,1.619,1,-0.927,2,-0.392
24570234,Quebec,275,5,0.990,2,-0.337,1,-0.940,3,-0.246
24570235,Quebec,414,2,-0.613,2,-0.750,1,-0.806,2,-0.379
24570236,Quebec,499,1,-1.271,3,-0.305,1,-0.771,3,-0.314
24570237,Quebec,464,3,-0.114,4,0.330,1,-0.862,5,0.428
24570238,Quebec,510,4,0.608,4,0.494,2,-0.714,4,0.157
24570239,Quebec,1374,2,-0.568,3,-0.313,2,-0.714,3,-0.070
24570240,Quebec,331,4,0.652,4,0.273,2,-0.594,4,0.141
24570241,Quebec,382,1,-0.888,2,-0.378,1,-0.753,4,0.012
24570242,Quebec,721,1,-1.139,1,-1.221,1,-0.829,1,-0.983
24570243,Quebec,563,5,1.282,2,-0.329,1,-0.771,2,-0.422
24570244,Quebec,1000,4,0.561,2,-0.671,2,-0.640,1,-0.820
24570245,Quebec,570,3,-0.449,2,-0.332,2,-0.693,2,-0.393
24570246,Quebec,489,1,-0.833,1,-1.336,3,-0.530,1,-0.779
24570247,Quebec,2243,3,-0.237,1,-0.838,3,-0.541,1,-0.854
24570248,Quebec,844,3,-0.311,3,-0.185,2,-0.695,3,-0.130
24570249,Quebec,411,1,-1.112,1,-1.440,3,-0.533,1,-0.776
24570250,Quebec,699,1,-1.188,1,-1.577,1,-0.730,1,-0.799
24570251,Quebec,796,1,-0.960,1,-1.132,1,-0.730,1,-0.626
24570252,Quebec,1020,1,-0.824,1,-0.960,1,-0.740,1,-0.913
24570253,Quebec,896,1,-0.836,1,-1.662,1,-0.823,1,-0.790
24570254,Quebec,1699,3,-0.102,1,-1.164,1,-0.777,2,-0.578
24570255,Quebec,614,1,-0.874,1,-1.064,1,-0.845,2,-0.537
24570256,Quebec,998,2,-0.525,1,-0.822,1,-0.752,2,-0.490
24570257,Quebec,1296,4,0.663,1,-1.294,3,-0.479,1,-0.619
24580001,Quebec,339,4,-0.049,4,0.331,3,-0.228,5,0.548
24580002,Quebec,296,3,-0.345,4,0.185,4,0.024,4,0.019
24580003,Quebec,464,5,1.688,2,-0.541,2,-0.555,3,-0.251
24580004,Quebec,258,5,1.299,3,-0.221,1,-0.728,5,0.528
24580005,Quebec,858,5,2.607,4,0.650,2,-0.716,3,-0.113
24580006,Quebec,430,5,1.131,3,-0.062,3,-0.542,4,0.240
24580007,Quebec,346,4,0.812,2,-0.501,2,-0.592,5,0.450
24580008,Quebec,775,5,2.280,5,0.753,2,-0.570,2,-0.366
24580009,Quebec,374,3,-0.390,2,-0.389,1,-0.779,1,-0.977
24580010,Quebec,921,3,-0.162,1,-0.796,3,-0.383,2,-0.465
24580011,Quebec,456,5,1.693,1,-1.248,4,-0.174,3,-0.257
24580012,Quebec,651,4,0.328,2,-0.451,3,-0.408,2,-0.555
24580013,Quebec,389,1,-1.062,1,-0.960,2,-0.628,1,-0.627
24580014,Quebec,997,2,-0.712,1,-0.907,3,-0.477,1,-0.754
24580015,Quebec,523,4,0.407,2,-0.347,3,-0.399,1,-0.743
24580016,Quebec,993,1,-1.213,2,-0.768,3,-0.323,1,-0.803
24580017,Quebec,825,2,-0.584,3,-0.025,3,-0.378,2,-0.548
24580018,Quebec,432,1,-0.998,3,0.099,2,-0.608,3,-0.322
24580019,Quebec,614,4,0.400,4,0.190,3,-0.269,1,-0.619
24580020,Quebec,361,2,-0.519,4,0.418,3,-0.390,2,-0.534
24580021,Quebec,350,3,-0.327,5,0.931,4,0.016,2,-0.450
24580022,Quebec,401,5,1.856,4,0.396,4,-0.040,4,-0.006
24580023,Quebec,561,5,2.135,4,0.109,4,0.467,3,-0.065
24580024,Quebec,472,5,1.567,2,-0.535,5,1.321,3,-0.197
24580025,Quebec,284,1,-1.098,3,0.101,4,-0.027,1,-0.673
24580026,Quebec,574,5,3.022,2,-0.372,5,0.826,4,0.259
24580027,Quebec,660,5,0.904,2,-0.469,4,0.088,4,0.166
24580028,Quebec,392,5,1.171,4,0.443,2,-0.569,2,-0.345
24580029,Quebec,373,5,1.014,5,3.192,1,-0.785,1,-1.010
24580030,Quebec,159,5,2.288,3,-0.171,1,-0.795,3,-0.129
24580031,Quebec,336,5,2.189,5,3.405,1,-1.157,3,-0.256
24580032,Quebec,457,5,1.236,5,0.728,1,-0.808,1,-0.760
24580033,Quebec,500,5,0.887,3,-0.156,3,-0.502,3,-0.310
24580034,Quebec,489,5,0.932,3,-0.062,2,-0.653,2,-0.380
24580035,Quebec,606,5,1.068,5,2.943,3,-0.528,2,-0.443
24580036,Quebec,530,4,0.386,2,-0.431,1,-0.748,3,-0.244
24580037,Quebec,502,5,1.436,3,-0.117,4,-0.078,4,0.025
24580038,Quebec,282,5,1.243,4,0.546,4,-0.134,3,-0.141
24580039,Quebec,471,5,1.899,4,0.212,3,-0.247,5,0.700
24580040,Quebec,585,5,1.631,3,-0.244,4,0.041,5,0.675
24580041,Quebec,368,5,1.683,4,0.573,4,-0.037,5,0.465
24580042,Quebec,577,5,2.293,2,-0.359,4,0.475,4,0.184
24580043,Quebec,530,5,1.596,4,0.603,3,-0.250,5,0.432
24580044,Quebec,707,5,1.309,3,0.075,3,-0.388,4,0.317
24580045,Quebec,560,5,1.135,4,0.148,4,-0.146,5,0.672
24580046,Quebec,475,5,1.512,1,-0.959,4,0.469,4,0.360
24580047,Quebec,402,4,0.766,4,0.251,4,0.011,4,0.006
24580048,Quebec,488,5,1.652,2,-0.409,4,0.522,5,0.442
24580049,Quebec,651,5,1.357,3,-0.166,4,0.423,4,0.058
24580050,Quebec,438,5,1.755,5,0.995,4,0.376,4,0.069
24580051,Quebec,464,5,2.318,4,0.568,4,-0.103,5,0.578
24580052,Quebec,401,5,1.270,4,0.488,4,0.109,5,0.681
24580053,Quebec,451,5,1.259,3,0.094,4,-0.071,3,-0.175
24580054,Quebec,389,5,1.244,3,0.052,3,-0.251,5,0.910
24580055,Quebec,507,4,0.667,4,0.563,3,-0.384,4,-0.008
24580056,Quebec,584,5,1.334,4,0.147,3,-0.443,4,0.173
24580057,Quebec,712,5,1.800,4,0.209,4,0.375,4,0.155
24580058,Quebec,390,5,1.327,4,0.406,3,-0.499,3,-0.155
24580059,Quebec,449,5,0.948,3,-0.133,2,-0.713,3,-0.235
24580060,Quebec,383,4,0.242,4,0.156,2,-0.557,3,-0.216
24580061,Quebec,460,4,0.439,3,-0.271,3,-0.384,2,-0.406
24580062,Quebec,383,5,2.509,2,-0.396,2,-0.653,5,0.395
24580063,Quebec,614,5,1.144,3,-0.243,4,0.050,3,-0.098
24580064,Quebec,462,4,0.037,3,0.059,3,-0.307,1,-0.689
24580065,Quebec,499,5,0.945,3,-0.222,4,0.051,4,0.100
24580066,Quebec,531,5,0.981,4,0.234,3,-0.288,4,0.346
24580067,Quebec,640,5,1.956,4,0.262,3,-0.359,4,0.374
24580068,Quebec,467,5,2.601,3,-0.037,5,1.068,5,0.507
24580069,Quebec,502,5,1.438,4,0.360,4,-0.181,5,0.733
24580070,Quebec,626,5,2.218,5,1.454,3,-0.459,5,0.579
24580071,Quebec,440,5,1.062,3,-0.089,3,-0.249,3,-0.141
24580072,Quebec,517,5,2.568,3,-0.084,4,0.516,5,0.746
24580073,Quebec,665,4,0.739,4,0.129,4,0.618,5,0.431
24580074,Quebec,390,5,1.323,2,-0.453,4,0.337,4,0.017
24580075,Quebec,357,5,1.274,2,-0.556,4,0.342,4,0.324
24580076,Quebec,383,5,1.846,2,-0.371,5,0.912,5,0.877
24580077,Quebec,495,5,0.854,3,-0.318,4,-0.186,5,0.470
24580078,Quebec,579,5,1.400,3,-0.159,5,1.380,5,0.401
24580079,Quebec,283,5,2.489,3,-0.172,5,2.011,4,0.380
24580080,Quebec,428,5,3.057,2,-0.732,5,1.492,2,-0.366
24580081,Quebec,580,4,0.762,4,0.615,5,0.756,3,-0.059
24580082,Quebec,400,5,2.166,5,0.921,4,-0.047,5,0.817
24580083,Quebec,493,5,2.034,2,-0.396,4,0.583,5,0.968
24580084,Quebec,565,5,2.368,4,0.636,3,-0.257,5,0.382
24580085,Quebec,340,5,2.465,4,0.166,4,0.114,5,0.410
24580087,Quebec,680,5,2.327,2,-0.362,4,0.438,4,0.355
24580088,Quebec,773,5,2.247,3,-0.304,5,1.504,5,0.597
24580089,Quebec,351,5,1.560,4,0.573,4,0.479,5,0.854
24580090,Quebec,430,4,-0.061,5,1.078,4,0.056,3,-0.153
24580091,Quebec,418,5,1.473,3,-0.150,4,0.052,5,0.728
24580092,Quebec,427,5,1.026,1,-0.803,4,0.456,4,-0.016
24580093,Quebec,360,5,1.622,3,-0.188,4,0.013,5,0.546
24580094,Quebec,345,4,0.700,2,-0.635,4,-0.039,5,0.395
24580095,Quebec,561,5,0.836,3,0.097,3,-0.280,4,0.169
24580096,Quebec,384,5,1.165,5,0.943,4,0.055,5,0.716
24580097,Quebec,764,5,2.029,2,-0.336,5,1.240,5,0.616
24580098,Quebec,649,5,1.735,4,0.473,3,-0.200,4,0.316
24580099,Quebec,606,5,1.837,3,0.091,4,0.205,5,0.722
24580100,Quebec,581,5,2.036,4,0.495,2,-0.580,5,0.549
24580101,Quebec,561,5,1.918,4,0.397,4,-0.011,5,0.668
24580102,Quebec,455,5,1.199,3,0.061,4,0.340,4,0.060
24580103,Quebec,561,5,1.266,3,-0.281,4,-0.029,5,0.699
24580104,Quebec,534,5,1.203,4,0.180,4,-0.010,5,0.511
24580105,Quebec,555,5,1.384,3,-0.042,4,0.350,5,0.766
24580106,Quebec,338,5,1.548,3,0.005,4,0.257,4,0.095
24580107,Quebec,294,5,1.408,3,0.077,5,0.680,5,0.536
24580108,Quebec,415,5,2.223,5,1.127,4,-0.042,5,1.146
24580109,Quebec,520,5,2.185,4,0.380,4,0.283,5,0.912
24580110,Quebec,557,5,1.451,2,-0.415,4,0.597,4,0.357
24580112,Quebec,478,5,2.248,3,-0.143,4,0.263,5,0.952
24580113,Quebec,501,5,1.845,3,-0.240,5,1.119,3,-0.053
24580114,Quebec,728,5,2.245,5,0.815,4,0.223,4,0.306
24580115,Quebec,380,5,0.822,4,0.494,4,0.437,5,1.013
24580116,Quebec,459,5,0.999,4,0.661,4,0.031,3,-0.069
24580117,Quebec,523,5,1.164,4,0.492,4,0.124,4,0.279
24580118,Quebec,540,4,0.695,4,0.171,4,-0.017,3,-0.230
24580119,Quebec,426,5,1.522,4,0.490,4,0.482,5,0.590
24580120,Quebec,507,5,1.060,4,0.425,4,-0.083,5,0.782
24580121,Quebec,574,5,1.663,4,0.525,4,0.245,5,0.826
24580122,Quebec,397,5,1.278,3,-0.235,3,-0.381,5,1.266
24580123,Quebec,403,5,1.412,4,0.245,4,0.336,4,0.047
24580124,Quebec,434,5,0.839,3,0.011,4,0.313,5,0.454
24580125,Quebec,297,5,1.348,5,0.807,3,-0.246,4,0.024
24580126,Quebec,455,5,1.029,1,-1.322,3,-0.347,2,-0.612
24580127,Quebec,515,5,1.327,2,-0.667,4,-0.017,3,-0.234
24580128,Quebec,519,5,2.404,3,0.046,3,-0.360,4,0.067
24580132,Quebec,618,5,2.260,2,-0.402,5,2.571,4,0.257
24580134,Quebec,515,5,2.514,5,1.729,4,-0.062,2,-0.602
24580135,Quebec,589,5,3.039,5,1.260,4,0.036,1,-0.656
24580136,Quebec,523,5,2.310,5,4.531,3,-0.238,1,-0.645
24580137,Quebec,712,5,2.603,4,0.676,5,1.369,5,0.643
24580138,Quebec,672,5,1.975,5,0.737,1,-0.749,2,-0.338
24580139,Quebec,461,4,0.352,5,0.716,3,-0.191,3,-0.157
24580140,Quebec,548,4,0.379,3,-0.280,3,-0.424,1,-0.630
24580141,Quebec,455,5,1.977,2,-0.497,1,-0.734,2,-0.335
24580142,Quebec,550,5,1.396,5,0.942,3,-0.358,2,-0.348
24580143,Quebec,471,5,1.107,2,-0.430,3,-0.487,1,-0.819
24580144,Quebec,693,5,1.407,5,0.844,4,-0.046,4,0.173
24580145,Quebec,550,1,-0.999,4,0.209,3,-0.454,2,-0.563
24580146,Quebec,555,1,-1.027,4,0.162,3,-0.469,1,-0.820
24580147,Quebec,590,4,0.153,2,-0.572,2,-0.551,2,-0.428
24580148,Quebec,550,3,-0.144,3,-0.003,2,-0.609,1,-0.652
24580149,Quebec,439,1,-0.943,2,-0.597,2,-0.672,1,-0.955
24580150,Quebec,522,4,0.438,3,-0.016,2,-0.596,2,-0.515
24580151,Quebec,482,5,0.867,1,-0.904,3,-0.534,2,-0.492
24580152,Quebec,540,3,-0.320,3,-0.036,2,-0.578,3,-0.266
24580153,Quebec,349,5,2.132,5,3.183,1,-0.982,1,-0.912
24580154,Quebec,434,5,2.510,4,0.474,2,-0.644,1,-0.657
24580155,Quebec,295,5,3.096,5,3.862,2,-0.656,1,-0.760
24580156,Quebec,706,5,1.907,5,1.260,3,-0.525,2,-0.526
24580157,Quebec,634,2,-0.798,1,-0.949,2,-0.693,4,-0.017
24580158,Quebec,446,4,0.051,3,-0.264,3,-0.496,1,-0.846
24580159,Quebec,498,2,-0.781,1,-1.077,2,-0.700,2,-0.598
24580160,Quebec,417,4,0.200,3,-0.303,4,-0.073,2,-0.427
24580162,Quebec,420,5,1.506,2,-0.433,3,-0.505,2,-0.375
24580163,Quebec,407,5,1.588,4,0.317,3,-0.438,5,0.750
24580164,Quebec,653,5,1.604,3,0.033,3,-0.423,5,0.718
24580165,Quebec,521,5,2.471,4,0.269,4,0.189,5,0.722
24580166,Quebec,459,5,2.041,4,0.526,1,-0.777,5,0.918
24580167,Quebec,501,3,-0.111,3,-0.296,4,0.272,3,-0.183
24580168,Quebec,406,3,-0.104,2,-0.345,2,-0.627,5,0.409
24580169,Quebec,738,5,2.091,5,1.936,4,0.164,3,-0.162
24580170,Quebec,448,4,0.662,3,0.088,4,0.288,4,0.074
24580171,Quebec,595,5,1.104,2,-0.361,4,0.053,4,-0.026
24580172,Quebec,523,3,-0.102,4,0.429,4,-0.088,3,-0.104
24580173,Quebec,553,3,-0.501,3,-0.281,4,0.068,3,-0.186
24580174,Quebec,621,5,0.876,4,0.209,4,0.116,3,-0.093
24580175,Quebec,409,4,0.206,1,-0.811,4,-0.183,2,-0.561
24580176,Quebec,468,3,-0.159,4,0.441,4,0.597,3,-0.047
24580177,Quebec,461,4,0.771,5,0.998,5,0.971,4,0.315
24580178,Quebec,487,2,-0.770,3,0.080,3,-0.344,4,0.091
24580179,Quebec,416,3,-0.074,4,0.581,4,-0.114,3,-0.134
24580180,Quebec,412,4,0.344,4,0.178,4,-0.114,5,0.673
24580181,Quebec,610,5,2.029,4,0.553,5,2.021,5,0.826
24580182,Quebec,607,5,1.462,3,0.009,4,0.349,5,0.609
24580183,Quebec,609,5,1.398,2,-0.464,5,0.788,5,0.925
24580184,Quebec,679,5,0.999,3,-0.235,4,0.201,5,0.621
24580185,Quebec,543,5,1.163,5,0.825,4,0.270,5,0.674
24580186,Quebec,477,5,1.281,5,1.063,3,-0.288,3,-0.087
24580187,Quebec,602,5,1.247,3,-0.285,4,-0.028,5,0.716
24580188,Quebec,298,3,-0.087,3,0.046,4,0.024,4,0.168
24580189,Quebec,334,5,1.108,3,0.044,3,-0.322,5,0.476
24580190,Quebec,414,3,-0.371,1,-1.129,4,0.023,4,0.036
24580191,Quebec,440,4,0.680,4,0.409,3,-0.255,4,0.097
24580192,Quebec,479,4,0.550,2,-0.543,4,0.100,3,-0.265
24580193,Quebec,401,5,0.989,4,0.594,4,-0.039,5,0.659
24580194,Quebec,563,4,0.620,4,0.265,4,-0.038,5,0.659
24580195,Quebec,509,4,0.501,4,0.179,3,-0.304,5,0.710
24580196,Quebec,410,4,0.722,3,-0.125,3,-0.376,4,0.037
24580197,Quebec,472,4,0.793,3,0.095,4,-0.034,4,0.260
24580198,Quebec,535,5,2.265,4,0.355,3,-0.266,5,0.451
24580199,Quebec,993,5,1.428,2,-0.448,4,0.388,3,-0.172
24580200,Quebec,485,4,0.629,3,-0.094,4,0.073,5,0.483
24580201,Quebec,388,5,1.874,2,-0.441,3,-0.409,5,0.824
24580202,Quebec,605,5,2.225,4,0.224,4,0.028,5,0.737
24580203,Quebec,328,4,0.558,2,-0.331,4,-0.091,2,-0.386
24580204,Quebec,587,5,1.636,5,0.730,5,0.660,5,1.014
24580205,Quebec,689,5,1.439,3,0.033,4,0.520,5,0.832
24580206,Quebec,536,5,0.864,4,0.457,4,0.017,3,-0.051
24580207,Quebec,622,5,1.314,4,0.302,3,-0.545,4,0.087
24580208,Quebec,774,5,2.092,3,-0.120,3,-0.266,2,-0.353
24580209,Quebec,346,5,1.761,4,0.678,1,-0.800,4,-0.010
24580210,Quebec,482,5,1.562,5,0.968,3,-0.282,4,0.358
24580211,Quebec,742,5,1.853,5,0.959,2,-0.596,4,0.299
24580212,Quebec,921,5,1.628,5,1.253,3,-0.451,1,-0.850
24580213,Quebec,646,5,2.073,3,-0.252,4,-0.125,5,0.999
